noise,coupling,cluster
0.006,0.175,2
0.006,0.18,2
0.006,0.185,2
0.006,0.19,2
0.006,0.195,2
0.006,0.2,2
0.0065,0.0,0
0.0065,0.005,0
0.0065,0.01,1
0.0065,0.015,1
0.0065,0.02,1
0.0065,0.025,1
0.0065,0.03,1
0.0065,0.035,1
0.0065,0.04,1
0.0065,0.045,1
0.0065,0.05,1
0.0065,0.055,1
0.0065,0.06,1
0.0065,0.065,1
0.0065,0.07,4
0.0065,0.075,4
0.0065,0.08,4
0.0065,0.085,2
0.0065,0.09,2
0.0065,0.095,2
0.0065,0.1,2
0.0065,0.105,2
0.0065,0.11,2
0.0065,0.115,2
0.0065,0.12,2
0.0065,0.125,2
0.0065,0.13,2
0.0065,0.135,2
0.0065,0.14,2
0.0065,0.145,2
0.0065,0.15,2
0.0065,0.155,2
0.0065,0.16,2
0.0065,0.165,2
0.0065,0.17,2
0.0065,0.175,2
0.0065,0.18,2
0.0065,0.185,2
0.0065,0.19,2
0.0065,0.195,2
0.0065,0.2,2
0.007,0.0,0
0.007,0.005,1
0.007,0.01,1
0.007,0.015,1
0.007,0.02,1
0.007,0.025,1
0.007,0.03,1
0.007,0.035,1
0.007,0.04,1
0.007,0.045,1
0.007,0.05,1
0.007,0.055,1
0.007,0.06,1
0.007,0.065,1
0.007,0.07,1
0.007,0.075,4
0.007,0.08,4
0.007,0.085,2
0.007,0.09,4
0.007,0.095,2
0.007,0.1,2
0.007,0.105,2
0.007,0.11,2
0.007,0.115,2
0.007,0.12,2
0.007,0.125,2
0.007,0.13,2
0.007,0.135,2
0.007,0.14,2
0.007,0.145,2
0.007,0.15,2
0.007,0.155,2
0.007,0.16,2
0.007,0.165,2
0.007,0.17,2
0.007,0.175,2
0.007,0.18,2
0.007,0.185,2
0.007,0.19,2
0.007,0.195,2
0.007,0.2,2
0.0075,0.0,0
0.0075,0.005,1
0.0075,0.01,1
0.0075,0.015,1
0.0075,0.02,1
0.0075,0.025,1
0.0075,0.03,1
0.0075,0.035,1
0.0075,0.04,1
0.0075,0.045,1
0.0075,0.05,1
0.0075,0.055,1
0.0075,0.06,1
0.0075,0.065,1
0.0075,0.07,1
0.0075,0.075,4
0.0075,0.08,2
0.0075,0.085,2
0.0075,0.09,2
0.0075,0.095,4
0.0075,0.1,2
0.0075,0.105,2
0.0075,0.11,2
0.0075,0.115,2
0.0075,0.12,2
0.0075,0.125,2
0.0075,0.13,2
0.0075,0.135,2
0.0075,0.14,2
0.0075,0.145,2
0.0075,0.15,2
0.0075,0.155,2
0.0075,0.16,2
0.0075,0.165,2
0.0075,0.17,2
0.0075,0.175,2
0.0075,0.18,2
0.0075,0.185,2
0.0075,0.19,2
0.0075,0.195,2
0.0075,0.2,2
0.008,0.0,0
0.008,0.005,1
0.008,0.01,1
0.008,0.015,1
0.008,0.02,1
0.008,0.025,1
0.008,0.03,1
0.008,0.035,1
0.008,0.04,1
0.008,0.045,1
0.008,0.05,1
0.008,0.055,1
0.008,0.06,1
0.008,0.065,1
0.008,0.07,1
0.008,0.075,4
0.008,0.08,2
0.008,0.085,4
0.008,0.09,4
0.008,0.095,4
0.008,0.1,2
0.008,0.105,2
0.008,0.11,2
0.008,0.115,2
0.008,0.12,2
0.008,0.125,2
0.008,0.13,2
0.008,0.135,2
0.008,0.14,2
0.008,0.145,2
0.008,0.15,2
0.008,0.155,2
0.008,0.16,2
0.008,0.165,2
0.008,0.17,2
0.008,0.175,2
0.008,0.18,2
0.008,0.185,2
0.008,0.19,2
0.008,0.195,2
0.008,0.2,2
0.0085,0.0,0
0.0085,0.005,1
0.0085,0.01,1
0.0085,0.015,1
0.0085,0.02,1
0.0085,0.025,1
0.0085,0.03,1
0.0085,0.035,1
0.0085,0.04,1
0.0085,0.045,1
